Timestamp, Dataset, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-15 16:30:45, Circles, multiclass_combined_loss_softplus, 0.5, 30, 64.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_softplus_alpha_0.5__SIZE30
2026-01-15 16:31:26, Circles, multiclass_combined_loss_softplus, 0.5, 100, 50.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_softplus_alpha_0.5__SIZE100
2026-01-15 16:31:41, Circles, multiclass_combined_loss_sign, 0.5, 10, 68.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_sign_alpha_0.5__SIZE10
2026-01-15 16:32:01, Circles, multiclass_combined_loss_sign, 0.5, 30, 81.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_sign_alpha_0.5__SIZE30
2026-01-15 16:32:41, Circles, multiclass_combined_loss_sign, 0.5, 100, 72.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_sign_alpha_0.5__SIZE100
2026-01-15 16:32:51, TwoMoons, multiclass_cross_entropy, 0.0, 10, 81.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_cross_entropy_alpha_0.0__SIZE10
2026-01-15 16:33:01, TwoMoons, multiclass_cross_entropy, 0.0, 30, 82.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_cross_entropy_alpha_0.0__SIZE30
2026-01-15 16:33:18, TwoMoons, multiclass_cross_entropy, 0.0, 100, 88.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_cross_entropy_alpha_0.0__SIZE100
2026-01-15 16:33:32, TwoMoons, multiclass_combined_loss_relu, 0.5, 10, 80.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_combined_loss_relu_alpha_0.5__SIZE10
2026-01-15 16:33:50, TwoMoons, multiclass_combined_loss_relu, 0.5, 30, 81.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_combined_loss_relu_alpha_0.5__SIZE30
2026-01-15 16:34:30, TwoMoons, multiclass_combined_loss_relu, 0.5, 100, 88.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_combined_loss_relu_alpha_0.5__SIZE100
2026-01-15 16:34:44, TwoMoons, multiclass_combined_loss_softplus, 0.5, 10, 81.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_combined_loss_softplus_alpha_0.5__SIZE10
2026-01-15 16:35:04, TwoMoons, multiclass_combined_loss_softplus, 0.5, 30, 82.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_combined_loss_softplus_alpha_0.5__SIZE30
2026-01-15 16:35:45, TwoMoons, multiclass_combined_loss_softplus, 0.5, 100, 88.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_combined_loss_softplus_alpha_0.5__SIZE100
2026-01-15 16:35:59, TwoMoons, multiclass_combined_loss_sign, 0.5, 10, 80.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_combined_loss_sign_alpha_0.5__SIZE10
2026-01-15 16:36:18, TwoMoons, multiclass_combined_loss_sign, 0.5, 30, 80.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_combined_loss_sign_alpha_0.5__SIZE30
2026-01-15 16:36:56, TwoMoons, multiclass_combined_loss_sign, 0.5, 100, 85.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_combined_loss_sign_alpha_0.5__SIZE100
