Timestamp, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-13 16:17:11, multiclass_split_loss_embedding_relu, 0.7, 50, 62.84, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.7
2026-01-13 16:20:04, multiclass_split_loss_embedding_relu, 0.7, 100, 75.28, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.7
2026-01-13 16:23:23, multiclass_split_loss_embedding_relu, 0.7, 200, 83.7, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.7
2026-01-13 16:24:38, multiclass_split_loss_embedding_softplus, 0.3, 10, 28.1, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.3
2026-01-13 16:26:13, multiclass_split_loss_embedding_softplus, 0.3, 20, 37.3, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.3
2026-01-13 16:28:34, multiclass_split_loss_embedding_softplus, 0.3, 50, 62.26, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.3
2026-01-13 16:31:30, multiclass_split_loss_embedding_softplus, 0.3, 100, 77.44, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.3
2026-01-13 16:34:53, multiclass_split_loss_embedding_softplus, 0.3, 200, 84.16, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.3
2026-01-13 16:36:19, multiclass_split_loss_embedding_softplus, 0.5, 10, 36.88, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.5
2026-01-13 16:38:00, multiclass_split_loss_embedding_softplus, 0.5, 20, 26.74, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.5
2026-01-13 16:40:10, multiclass_split_loss_embedding_softplus, 0.5, 50, 70.52, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.5
2026-01-13 16:43:03, multiclass_split_loss_embedding_softplus, 0.5, 100, 70.14, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.5
2026-01-13 16:46:33, multiclass_split_loss_embedding_softplus, 0.5, 200, 84.06, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.5
2026-01-13 16:47:54, multiclass_split_loss_embedding_softplus, 0.7, 10, 29.78, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.7
2026-01-13 16:49:35, multiclass_split_loss_embedding_softplus, 0.7, 20, 32.28, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.7
2026-01-13 16:51:49, multiclass_split_loss_embedding_softplus, 0.7, 50, 68.02, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.7
2026-01-13 16:54:57, multiclass_split_loss_embedding_softplus, 0.7, 100, 72.7, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.7
2026-01-13 16:58:20, multiclass_split_loss_embedding_softplus, 0.7, 200, 83.98, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.7
